Country Name,"Country Code","Series Name","Series Code","1974 [YR1974]","1975 [YR1975]","1976 [YR1976]","1977 [YR1977]","1978 [YR1978]","1979 [YR1979]","1980 [YR1980]","1981 [YR1981]","1982 [YR1982]","1983 [YR1983]","1984 [YR1984]","1985 [YR1985]","1986 [YR1986]","1987 [YR1987]","1988 [YR1988]","1989 [YR1989]","1990 [YR1990]","1991 [YR1991]","1992 [YR1992]","1993 [YR1993]","1994 [YR1994]","1995 [YR1995]","1996 [YR1996]","1997 [YR1997]","1998 [YR1998]","1999 [YR1999]","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]","2021 [YR2021]","2022 [YR2022]","2023 [YR2023]"
Argentina,"ARG","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","92.1548004150391","92.4921875","92.8294525146484","93.1660461425781","93.5012741088867","93.8344650268555","94.1649398803711","94.4920120239258","94.8150024414063","95.1331558227539","95.7","95.5","96.1","96.3","96.5","96.7","97","97.2","97.5","97.8","98.8","99","99.1","99.3","100","99.7","99.9","100","100","100","100","100","100",""
Argentina,"ARG","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","78.8945883201315","79.2542709682829","79.7786350872369","80.3337006585459","80.9358863354632","81.608093422829","82.3698768370974","83.247062020095","84.2638406906497","85.4318646348945","91.8","88.6","92.6","92.9","93.2","93.4","93.6","93.8","94","94.2","98.6","97.8","96.1","95.4","100","97.6","99.3","100","99.9","100","100","100","100",""
Argentina,"ARG","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","94.1390151977539","94.4131164550781","94.6866989135742","94.9571228027344","95.2212295532227","95.4758529663086","95.7178421020508","95.9440383911133","96.1512680053711","96.3380737304688","96.2","96.3","96.5","96.7","96.9","97.1","97.3","97.6","97.9","98.2","98.8","99.2","99.4","99.7","100","99.9","100","100","100","100","100","100","100",""
Argentina,"ARG","Adjusted net enrollment rate, primary (% of primary school age children)","SE.PRM.TENR","96.62253","96.32775","","","","","","","","","","","","95.45755","","","","96.1759","","","","","","100","99.7343","99.62729","99.35688","99.43632","99.45558","99.42561","99.13676","99.34854","99.52115","99.65259","99.52275","99.51247","99.13102","99.21521","99.26778","99.44548","99.7727","99.83682","99.4496","99.48052","","","","","",""
Argentina,"ARG","Adjusted net national income (annual % growth)","NY.ADJ.NNTY.KD.ZG","3.32579908207646","-0.00127877050101688","-2.1711916086963","5.61418640549327","-38.2577097024915","63.7073933372161","3.91585603784912","-6.62362944865137","-7.16838495571062","4.98327895921982","-30.9566019817701","38.267261189471","13.7860944350329","-1.2973884923873","-3.23316189368742","-12.610268426604","0.344909763080508","15.4729549808166","14.2333176734057","5.30986837294951","4.86124840289503","-4.66781750959807","6.81875340427993","7.3972920390321","3.0854265894626","-5.64704209844237","-0.949472274269354","-4.71834288579144","-11.0408797860761","11.6412102993947","-0.851999100577203","7.32452073426182","20.7447975360932","12.0530241449324","5.65919424016752","-7.50442079500611","11.5789826960197","8.81939655554378","-1.37947731948709","2.14753425992633","-3.59393203004291","5.2659875518724","-1.92741402061975","5.74437499390139","-5.60684741825986","-5.09453160471651","-7.83638320582234","12.4895557692886","",""
Argentina,"ARG","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","0","0","0.002992874","0.029527065","0.043705951","0.086277081","0.141954704","0.280339882","0.83076668","3.284481956","7.03868","9.78081","10.8821","11.9137","16.0367","17.7206","20.9272","25.9466","28.1126","34","45","51","55.8","59.9","64.7","68.0431","70.969","74.2949","77.7","79.947","85.5144","87.1507","88.3754","89.229"
Argentina,"ARG","Individuals using the Internet, male (% of male population)","IT.NET.USER.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.9057","75.1706","","","","87.8221","88.69","89.44"
Argentina,"ARG","Secure Internet servers","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1028","1404","2643","3117","3837","5317","32040","71731","83320","135647","167248","231834","240087","248239"
Argentina,"ARG","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.8978570259452","33.6443276957518","62.6871943865859","73.19916148564","89.1826345303307","122.294512787585","729.835343087417","1619.6159696379","1865.86541646219","3016.15630461206","3700.83487186273","5116.36127962748","5287.33940240888","5451.20150353984"
Argentina,"ARG","Individuals using the Internet, female (% of female population)","IT.NET.USER.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.115","73.492","","","","86.5182","88.08","89.03"
